policy,n_users,seed,sum_rate,runtime_ms,is_feasible,binary_objective,num_evaluated_assignments,power_optimizer_success,power_optimizer_iterations,rate_before_refinement,rate_after_refinement,best_available_rate,quality_pct_best_available,exact_rate,quality_pct_exact,exact_gap_pct
Greedy,2,100,1.9994033015479888,2.1910667419433594,True,,,True,1,1.9994033015479888,1.9994033015479888,12.680416793779255,15.76764655345441,12.680416793779255,15.76764655345441,84.23235344654559
QIO-Default,2,100,4.596315224577435,21.23546600341797,True,-375.46680619374337,,True,3,2.7159262184036908,4.596315224577435,12.680416793779255,36.24735132391145,12.680416793779255,36.24735132391145,63.752648676088555
QIO-HighQuality,2,100,4.596315224577435,165.26007652282715,True,-375.46680619374337,,True,3,2.7159262184036908,4.596315224577435,12.680416793779255,36.24735132391145,12.680416793779255,36.24735132391145,63.752648676088555
LocalSearch,2,100,4.596315224577435,5.515813827514648,True,-375.46680619374337,,True,3,2.7159262184036908,4.596315224577435,12.680416793779255,36.24735132391145,12.680416793779255,36.24735132391145,63.752648676088555
ExactSmall,2,100,12.680416793779255,45.11237144470215,True,2785.9886105428664,16.0,True,2,9.78595638867431,12.680416793779255,12.680416793779255,100.0,12.680416793779255,100.0,0.0
Greedy,2,110,1.9996090768288877,1.415252685546875,True,,,True,1,1.9996090768288877,1.9996090768288877,13.132604878144917,15.226294367209714,13.132604878144917,15.226294367209714,84.7737056327903
QIO-Default,2,110,2.6232701955173474,18.67198944091797,True,-392.9527285785689,,True,3,1.4463591204273594,2.6232701955173474,13.132604878144917,19.975246494189086,13.132604878144917,19.975246494189086,80.02475350581092
QIO-HighQuality,2,110,2.6232701955173474,149.53327178955078,True,-392.9527285785689,,True,3,1.4463591204273594,2.6232701955173474,13.132604878144917,19.975246494189086,13.132604878144917,19.975246494189086,80.02475350581092
LocalSearch,2,110,2.6232701955173474,5.403280258178711,True,-392.9527285785689,,True,3,1.4463591204273594,2.6232701955173474,13.132604878144917,19.975246494189086,13.132604878144917,19.975246494189086,80.02475350581092
ExactSmall,2,110,13.132604878144917,41.40472412109375,True,5439.306690475151,16.0,True,2,11.578904764498928,13.132604878144917,13.132604878144917,99.99999999999999,13.132604878144917,99.99999999999999,0.0
Greedy,2,120,1.9994486148182646,1.4925003051757812,True,,,True,1,1.9994486148182646,1.9994486148182646,13.118103058145165,15.241903543186348,13.118103058145165,15.241903543186348,84.75809645681365
